name,occurrences_in_calendar,category,priority,country,active
Nego do Borel,1,Outro,Média,,true
Ayo Edebiri,1,Outro,Média,,true
Gabby Douglas,1,Outro,Média,,true
Ashton Sanders,1,Outro,Média,,true
Bill Cobbs,1,Outro,Média,,true
Jason Derulo,1,Outro,Média,,true
Kehlani,1,Outro,Média,,true
Burna Boy,1,Outro,Média,,true
Erykah Badu,1,Outro,Média,,true
John Amos,1,Outro,Média,,true
Janet Jackson,1,Outro,Média,,true
Freddie Gibbs,1,Outro,Média,,true
Kylian Mbappé,1,Outro,Média,,true
James Pickens Jr,1,Outro,Média,,true
Steve Harvey,1,Outro,Média,,true
Frank Ocean,1,Outro,Média,,true
Marta,1,Outro,Média,,true
Summer Walker,1,Outro,Média,,true
Miguel,1,Outro,Média,,true
Richarlison,1,Outro,Média,,true
Jay Ellis,1,Outro,Média,,true
Sasha Obama,1,Outro,Média,,true
Érico Brás,1,Outro,Média,,true
Megan Thee Stallion,1,Outro,Média,,true
Cassie Ventura,1,Outro,Média,,true
Djamila Ribeiro,1,Outro,Média,,true
Amandla Stenberg,1,Outro,Média,,true
Lewis Hamilton,1,Outro,Média,,true
Cuba Mark Gooding Jr,1,Outro,Média,,true
Elza Soares (1930-2022),1,Outro,Média,,true
Colman Domingo,1,Outro,Média,,true
Haroldo Costa,1,Outro,Média,,true
Bow Wow,1,Outro,Média,,true
Michael Rainey Jr.,1,Outro,Média,,true
T-Pain,1,Outro,Média,,true
João Luiz Pedrosa,1,Outro,Média,,true
Chaka Khan,1,Outro,Média,,true
Jalen Hurts,1,Outro,Média,,true
50 Cent,1,Outro,Média,,true
Michael B. Jordan,1,Outro,Média,,true
Ashanti,1,Outro,Média,,true
Ruth de Souza,1,Outro,Média,,true
Sherri Saum,1,Outro,Média,,true
Fabiana Karla,1,Outro,Média,,true
Letitia Wright,1,Outro,Média,,true
Any Gabrielly,1,Outro,Média,,true
Blue Ivy,1,Outro,Média,,true
Shameik Alti Moore,1,Outro,Média,,true
Jesse Williams,1,Outro,Média,,true
Tiger Woods,1,Outro,Média,,true
Nala (Filha da Iza),1,Outro,Média,,true
Shaquille O’Neal,1,Outro,Média,,true
2 Chainz,1,Outro,Média,,true
Bia Ben,1,Outro,Média,,true
Isabel Fillardis,1,Outro,Média,,true
Jobe Bellingham,1,Outro,Média,,true
Jorja Smith,1,Outro,Média,,true
Bob Marley,1,Outro,Média,,true
Steve Lacy,1,Outro,Média,,true
Yaya Touré,1,Outro,Média,,true
Anthony Mackie,1,Outro,Média,,true
Mohamed Salah,1,Outro,Média,,true
Laverne Cox,1,Outro,Média,,true
Xxxtentacion,1,Outro,Média,,true
Raphinha,1,Outro,Média,,true
